[16:44:17] src/io/iter_image_recordio_2.cc:172: ImageRecordIOParser2: /home/wangyuanwen/data/mxnet_train_recdata_64/mx_train/data_train.rec, use 4 threads for decoding..
[16:44:28] src/io/iter_image_recordio_2.cc:172: ImageRecordIOParser2: /home/wangyuanwen/data/mxnet_train_recdata_64/mx_val/data_val.rec, use 4 threads for decoding..
[16:44:34] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:97: Running performance tests to find the best convolution algorithm, this can take a while... (set the environment variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
/home/wangyuanwen/anaconda3/lib/python3.7/site-packages/mxnet/module/base_module.py:504: UserWarning: Optimizer created manually outside Module but rescale_grad is not normalized to 1.0/batch_size/num_workers (1.0 vs. 0.015625). Is this intended?
  optimizer_params=optimizer_params)
INFO:root:Epoch[1] Batch [1000-1050]	Speed: 5162.14 samples/sec	acc=0.983125
INFO:root:Epoch[1] Batch [1050-1100]	Speed: 5984.13 samples/sec	acc=0.979688
INFO:root:Epoch[1] Batch [1100-1150]	Speed: 7285.29 samples/sec	acc=0.985938
INFO:root:Epoch[1] Batch [1150-1200]	Speed: 6466.40 samples/sec	acc=0.983750
INFO:root:Epoch[1] Batch [1200-1250]	Speed: 6326.68 samples/sec	acc=0.984062
INFO:root:Epoch[1] Batch [1250-1300]	Speed: 6836.70 samples/sec	acc=0.983750
INFO:root:Epoch[1] Batch [1300-1350]	Speed: 5502.84 samples/sec	acc=0.985625
INFO:root:Epoch[1] Batch [1350-1400]	Speed: 5572.75 samples/sec	acc=0.984375
INFO:root:Epoch[1] Batch [1400-1450]	Speed: 5363.49 samples/sec	acc=0.983437
INFO:root:Epoch[1] Batch [1450-1500]	Speed: 5841.67 samples/sec	acc=0.983750
INFO:root:Epoch[1] Batch [1500-1550]	Speed: 7104.64 samples/sec	acc=0.981875
INFO:root:Epoch[1] Batch [1550-1600]	Speed: 6215.85 samples/sec	acc=0.985625
INFO:root:Epoch[1] Batch [1600-1650]	Speed: 6446.88 samples/sec	acc=0.986875
INFO:root:Epoch[1] Batch [1650-1700]	Speed: 5763.98 samples/sec	acc=0.985313
INFO:root:Epoch[1] Batch [1700-1750]	Speed: 6264.45 samples/sec	acc=0.982187
INFO:root:Epoch[1] Batch [1750-1800]	Speed: 5499.44 samples/sec	acc=0.987187
INFO:root:Epoch[1] Batch [1800-1850]	Speed: 4666.82 samples/sec	acc=0.983437
INFO:root:Epoch[1] Batch [1850-1900]	Speed: 7137.46 samples/sec	acc=0.987812
INFO:root:Epoch[1] Batch [1900-1950]	Speed: 6306.98 samples/sec	acc=0.984688
INFO:root:Epoch[1] Batch [1950-2000]	Speed: 5366.07 samples/sec	acc=0.985938
INFO:root:Epoch[1] Batch [2000-2050]	Speed: 6509.18 samples/sec	acc=0.982812
INFO:root:Epoch[1] Batch [2050-2100]	Speed: 6869.92 samples/sec	acc=0.989688
INFO:root:Epoch[1] Batch [2100-2150]	Speed: 5312.05 samples/sec	acc=0.987187
INFO:root:Epoch[1] Batch [2150-2200]	Speed: 4950.13 samples/sec	acc=0.985625
INFO:root:Epoch[1] Batch [2200-2250]	Speed: 5268.77 samples/sec	acc=0.983750
INFO:root:Epoch[1] Batch [2250-2300]	Speed: 5330.62 samples/sec	acc=0.985625
INFO:root:Epoch[1] Batch [2300-2350]	Speed: 5230.04 samples/sec	acc=0.985313
INFO:root:Epoch[1] Batch [2350-2400]	Speed: 5443.17 samples/sec	acc=0.984688
INFO:root:Epoch[1] Batch [2400-2450]	Speed: 5616.66 samples/sec	acc=0.985313
INFO:root:Epoch[1] Batch [2450-2500]	Speed: 5856.92 samples/sec	acc=0.985313
INFO:root:Epoch[1] Batch [2500-2550]	Speed: 5921.75 samples/sec	acc=0.981875
INFO:root:Epoch[1] Batch [2550-2600]	Speed: 6515.56 samples/sec	acc=0.982187
INFO:root:Epoch[1] Batch [2600-2650]	Speed: 6158.19 samples/sec	acc=0.982812
INFO:root:Epoch[1] Batch [2650-2700]	Speed: 6335.71 samples/sec	acc=0.982812
INFO:root:Epoch[1] Batch [2700-2750]	Speed: 6447.42 samples/sec	acc=0.983437
INFO:root:Epoch[1] Batch [2750-2800]	Speed: 4949.91 samples/sec	acc=0.982812
INFO:root:Epoch[1] Batch [2800-2850]	Speed: 4827.72 samples/sec	acc=0.988437
INFO:root:Epoch[1] Batch [2850-2900]	Speed: 6363.07 samples/sec	acc=0.986250
INFO:root:Epoch[1] Train-acc=0.988163
INFO:root:Epoch[1] Time cost=32.065
INFO:root:Saved checkpoint to "./data/train_output/mxnet_ckpt/mn-v2_0.5-0002.params"
INFO:root:Epoch[1] Validation-acc=0.986532
INFO:root:Epoch[2] Batch [0-50]	Speed: 4984.91 samples/sec	acc=0.983762
INFO:root:Epoch[2] Batch [50-100]	Speed: 6068.08 samples/sec	acc=0.984375
INFO:root:Epoch[2] Batch [100-150]	Speed: 6492.47 samples/sec	acc=0.986875
INFO:root:Epoch[2] Batch [150-200]	Speed: 6116.69 samples/sec	acc=0.984062
INFO:root:Epoch[2] Batch [200-250]	Speed: 6289.66 samples/sec	acc=0.986563
INFO:root:Epoch[2] Batch [250-300]	Speed: 5955.23 samples/sec	acc=0.989688
INFO:root:Epoch[2] Batch [300-350]	Speed: 6776.51 samples/sec	acc=0.981250
INFO:root:Epoch[2] Batch [350-400]	Speed: 5588.85 samples/sec	acc=0.990000
INFO:root:Epoch[2] Batch [400-450]	Speed: 5784.56 samples/sec	acc=0.983750
INFO:root:Epoch[2] Batch [450-500]	Speed: 5928.00 samples/sec	acc=0.986250
INFO:root:Epoch[2] Batch [500-550]	Speed: 5394.58 samples/sec	acc=0.986875
INFO:root:Epoch[2] Batch [550-600]	Speed: 5537.94 samples/sec	acc=0.985313
INFO:root:Epoch[2] Batch [600-650]	Speed: 4899.26 samples/sec	acc=0.985625
INFO:root:Epoch[2] Batch [650-700]	Speed: 6057.32 samples/sec	acc=0.986250
INFO:root:Epoch[2] Batch [700-750]	Speed: 5762.45 samples/sec	acc=0.990000
INFO:root:Epoch[2] Batch [750-800]	Speed: 6198.88 samples/sec	acc=0.989062
INFO:root:Epoch[2] Batch [800-850]	Speed: 4861.55 samples/sec	acc=0.981250
INFO:root:Epoch[2] Batch [850-900]	Speed: 6194.12 samples/sec	acc=0.985313
INFO:root:Epoch[2] Batch [900-950]	Speed: 5507.89 samples/sec	acc=0.985000
INFO:root:Epoch[2] Batch [950-1000]	Speed: 5306.54 samples/sec	acc=0.988125
INFO:root:Epoch[2] Batch [1000-1050]	Speed: 5383.24 samples/sec	acc=0.987187
INFO:root:Epoch[2] Batch [1050-1100]	Speed: 5607.12 samples/sec	acc=0.985000
INFO:root:Epoch[2] Batch [1100-1150]	Speed: 4733.26 samples/sec	acc=0.984688
INFO:root:Epoch[2] Batch [1150-1200]	Speed: 6771.57 samples/sec	acc=0.985938
